;Scopy version,f4beeb1
;Exported on,dimanche octobre 13/10/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
421,-2.779,3.01974,3.22106
422,-2.778,3.01974,3.23936
423,-2.777,3.01974,3.23936
424,-2.776,3.01974,3.23936
425,-2.775,3.01974,3.23936
426,-2.774,3.00144,3.23936
427,-2.773,3.00144,3.20276
428,-2.772,3.00144,3.20276
429,-2.771,3.00144,3.20276
430,-2.77,3.00144,3.20276
431,-2.769,3.00144,3.22106
432,-2.768,3.00144,3.18446
433,-2.767,2.98314,3.18446
434,-2.766,2.98314,3.18446
435,-2.765,3.00144,3.20276
436,-2.764,3.00144,3.22106
437,-2.763,3.00144,3.18446
438,-2.762,3.00144,3.20276
439,-2.761,3.00144,3.20276
440,-2.76,3.00144,3.22106
441,-2.759,3.01974,3.22106
442,-2.758,3.01974,3.22106
443,-2.757,3.03804,3.22106
444,-2.756,3.00144,3.22106
445,-2.755,3.03804,3.23936
446,-2.754,3.03804,3.23936
447,-2.753,3.00144,3.20276
448,-2.752,3.00144,3.20276
449,-2.751,3.00144,3.20276
450,-2.75,3.00144,3.20276
451,-2.749,3.00144,3.22106
452,-2.748,3.00144,3.18446
453,-2.747,2.98314,3.18446
454,-2.746,2.98314,3.18446
455,-2.745,3.00144,3.20276
456,-2.744,3.00144,3.20276
457,-2.743,2.98314,3.20276
458,-2.742,3.01974,3.20276
459,-2.741,3.00144,3.20276
460,-2.74,3.00144,3.22106
461,-2.739,3.01974,3.22106
462,-2.738,3.01974,3.23936
463,-2.737,3.01974,3.23936
464,-2.736,3.01974,3.23936
465,-2.735,3.01974,3.23936
466,-2.734,3.00144,3.23936
467,-2.733,3.00144,3.20276
468,-2.732,3.00144,3.20276
469,-2.731,3.00144,3.20276
470,-2.73,3.00144,3.20276
471,-2.729,3.00144,3.22106
472,-2.728,3.00144,3.18446
473,-2.727,2.98314,3.18446
474,-2.726,2.98314,3.18446
475,-2.725,3.00144,3.20276
476,-2.724,3.01974,3.22106
477,-2.723,2.98314,3.18446
478,-2.722,3.01974,3.20276
479,-2.721,3.00144,3.20276
480,-2.72,3.00144,3.22106
481,-2.719,3.01974,3.22106
482,-2.718,3.01974,3.23936
483,-2.717,3.01974,3.23936
484,-2.716,3.01974,3.23936
485,-2.715,3.01974,3.23936
486,-2.714,3.00144,3.23936
487,-2.713,3.00144,3.20276
488,-2.712,3.00144,3.20276
489,-2.711,3.00144,3.20276
490,-2.71,3.00144,3.20276
491,-2.709,3.00144,3.20276
492,-2.708,3.00144,3.22106
493,-2.707,3.00144,3.18446
494,-2.706,2.98314,3.18446
495,-2.705,3.00144,3.20276
496,-2.704,3.01974,3.20276
497,-2.703,2.98314,3.18446
498,-2.702,3.00144,3.20276
499,-2.701,3.00144,3.20276
500,-2.7,3.00144,3.22106
501,-2.699,3.01974,3.22106
502,-2.698,3.01974,3.23936
503,-2.697,3.01974,3.23936
504,-2.696,3.01974,3.23936
505,-2.695,3.03804,3.23936
506,-2.694,3.00144,3.23936
507,-2.693,3.00144,3.20276
508,-2.692,3.00144,3.20276
509,-2.691,3.00144,3.20276
510,-2.69,3.00144,3.20276
511,-2.689,3.00144,3.20276
512,-2.688,3.01974,3.20276
513,-2.687,2.98314,3.18446
514,-2.686,2.98314,3.16615
515,-2.685,3.00144,3.18446
516,-2.684,3.00144,3.22106
517,-2.683,3.00144,3.20276
518,-2.682,3.00144,3.20276
519,-2.681,3.00144,3.20276
520,-2.68,3.00144,3.22106
521,-2.679,3.01974,3.22106
522,-2.678,3.01974,3.22106
523,-2.677,3.03804,3.22106
524,-2.676,3.00144,3.22106
525,-2.675,3.03804,3.23936
526,-2.674,3.03804,3.23936
527,-2.673,3.00144,3.20276
528,-2.672,3.00144,3.20276
529,-2.671,3.00144,3.20276
530,-2.67,3.00144,3.20276
531,-2.669,3.00144,3.20276
532,-2.668,3.00144,3.20276
533,-2.667,3.00144,3.20276
534,-2.666,3.00144,3.20276
535,-2.665,3.00144,3.20276
536,-2.664,2.98314,3.18446
537,-2.663,2.98314,3.18446
538,-2.662,3.00144,3.20276
