;Scopy version,438f138
;Exported on,dimanche décembre 15/12/2024
;Device,M2K
;Nr of samples,1600
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
675,0.675,0.258332,-0.0549044
676,0.676,0.251377,-0.0549044
677,0.677,0.420045,-0.0549044
678,0.678,0.498293,-0.0549044
679,0.679,0.465255,-0.0549044
680,0.68,0.300064,-0.0549044
681,0.681,0.263548,-0.0549044
682,0.682,0.258332,-0.0549044
683,0.683,0.253115,-0.0549044
684,0.684,0.253115,-0.0549044
685,0.685,0.253115,-0.0366029
686,0.686,0.253115,-0.0366029
687,0.687,0.253115,-0.0366029
688,0.688,0.253115,0
689,0.689,0.253115,0
690,0.69,0.253115,-0.0366029
691,0.691,0.253115,-0.0366029
692,0.692,0.253115,-0.0366029
693,0.693,0.253115,-0.0549044
694,0.694,0.253115,-0.0549044
695,0.695,0.253115,-0.0549044
696,0.696,0.253115,-0.0549044
697,0.697,0.253115,-0.0549044
698,0.698,0.253115,-0.0549044
699,0.699,0.253115,-0.0549044
700,0.7,0.253115,-0.0549044
701,0.701,0.253115,-0.0549044
702,0.702,0.253115,-0.0549044
703,0.703,0.253115,-0.0549044
704,0.704,0.253115,-0.0549044
705,0.705,0.253115,-0.0366029
706,0.706,0.253115,-0.0366029
707,0.707,0.253115,-0.0366029
708,0.708,0.253115,0
709,0.709,0.253115,0
710,0.71,0.253115,-0.0366029
711,0.711,0.253115,-0.0366029
712,0.712,0.253115,-0.0366029
713,0.713,0.253115,-0.0549044
714,0.714,0.253115,-0.0549044
715,0.715,0.253115,-0.0549044
716,0.716,0.253115,-0.0549044
717,0.717,0.253115,-0.0549044
718,0.718,0.253115,-0.0549044
719,0.719,0.253115,-0.0549044
720,0.72,0.253115,-0.0549044
721,0.721,0.253115,-0.0549044
722,0.722,0.253115,-0.0549044
723,0.723,0.253115,-0.0549044
724,0.724,0.253115,-0.0549044
725,0.725,0.253115,-0.0549044
726,0.726,0.253115,-0.0549044
727,0.727,0.253115,0
728,0.728,0.253115,0
729,0.729,0.253115,0
730,0.73,0.253115,0
731,0.731,0.253115,0
732,0.732,0.253115,0
733,0.733,0.253115,-0.0549044
734,0.734,0.253115,-0.0549044
735,0.735,0.256593,-0.0549044
736,0.736,0.247899,-0.0549044
737,0.737,0.371357,-0.0549044
738,0.738,0.500032,-0.0549044
739,0.739,0.48786,-0.0549044
740,0.74,0.326147,-0.0549044
741,0.741,0.268765,-0.0549044
742,0.742,0.256593,-0.0549044
743,0.743,0.256593,-0.0549044
744,0.744,0.253115,-0.0549044
745,0.745,0.253115,-0.0549044
746,0.746,0.253115,0
747,0.747,0.253115,0
748,0.748,0.253115,0
749,0.749,0.253115,0
750,0.75,0.253115,-0.0366029
751,0.751,0.253115,-0.0366029
752,0.752,0.253115,-0.0366029
753,0.753,0.253115,-0.0549044
754,0.754,0.253115,-0.0549044
755,0.755,0.253115,-0.0549044
756,0.756,0.253115,-0.0549044
757,0.757,0.253115,-0.0549044
758,0.758,0.253115,-0.0549044
759,0.759,0.253115,-0.0549044
760,0.76,0.253115,-0.0549044
761,0.761,0.253115,-0.0549044
762,0.762,0.253115,-0.0549044
763,0.763,0.253115,-0.0549044
764,0.764,0.253115,-0.0549044
765,0.765,0.253115,-0.0549044
